store_id,sgg,admin_dong
55741,성동구,마장동
55863,성동구,사근동
56030,성동구,행당2동
56031,성동구,금호4가동
56032,성동구,왕십리도선동
56033,성동구,왕십리2동
56037,성동구,금호2·3가동
56168,성북구,종암동
56169,성북구,안암동
56170,성북구,동선동
56171,성북구,동선동
56172,성북구,삼선동
56353,성동구,금호1가동
56423,성동구,왕십리도선동
56424,성동구,행당1동
56426,성동구,마장동
56427,성동구,마장동
56453,성북구,종암동
56454,성북구,안암동
56455,성북구,종암동
56741,성동구,사근동
56750,성동구,금호4가동
56852,성북구,동선동
56853,성북구,안암동
57020,성동구,왕십리도선동
57025,성북구,성북동
57029,성북구,삼선동
57164,성북구,길음2동
57348,성북구,정릉2동
57467,성북구,삼선동
57620,성동구,행당2동
57622,성동구,금호2·3가동
57773,성북구,동선동
57776,성동구,왕십리도선동
57787,성북구,길음2동
58100,성북구,길음2동
58217,성북구,동선동
58219,성북구,동선동
58221,성북구,동선동
58675,성동구,금호2·3가동
58678,성동구,금호4가동
58884,성북구,안암동
59080,성북구,보문동
59153,성북구,안암동
59200,성동구,금호2·3가동
59264,성동구,옥수동
59551,성동구,마장동
59632,성동구,사근동
59669,성북구,안암동
59753,성동구,사근동
59773,성동구,금호2·3가동
59855,성북구,종암동
59856,성북구,종암동
59980,성북구,길음1동
60123,성북구,안암동
60138,성동구,사근동
60163,성북구,삼선동
60180,성동구,사근동
60221,성동구,행당1동
60230,성북구,정릉1동
60421,성북구,삼선동
60511,성북구,삼선동
60543,성동구,마장동
60575,성동구,마장동
60729,성동구,금호4가동
60739,성동구,사근동
60740,성동구,사근동
60744,성동구,왕십리도선동
60745,성동구,옥수동
60746,성동구,옥수동
60948,성동구,마장동
61115,성북구,돈암2동
61137,성북구,종암동
61138,성북구,성북동
61139,성북구,길음1동
61141,성북구,동선동
61634,성동구,사근동
61977,성북구,안암동
62121,성동구,사근동
62122,성동구,왕십리도선동
62865,성동구,마장동
62962,성북구,종암동
62993,성동구,옥수동
63119,성북구,삼선동
63262,성북구,삼선동
63263,성북구,안암동
63420,성북구,종암동
63564,성북구,종암동
63664,성북구,성북동
63698,성동구,행당1동
63849,성동구,옥수동
64005,성북구,종암동
64218,성동구,왕십리도선동
64219,성동구,왕십리도선동
64224,성동구,행당1동
64388,성동구,금호4가동
64453,성북구,동선동
64454,성북구,종암동
64510,성동구,응봉동
64858,성동구,옥수동
64859,성동구,사근동
64860,성북구,동선동
64861,성북구,삼선동
64862,성북구,삼선동
64865,성북구,정릉1동
65076,성북구,종암동
65147,성북구,길음1동
65802,성동구,금호4가동
65839,성동구,왕십리도선동
65841,성북구,종암동
65843,성북구,삼선동
65880,성북구,정릉1동
65884,성북구,안암동
66015,성동구,왕십리도선동
66066,성동구,왕십리2동
66124,성동구,사근동
66245,성북구,정릉2동
66246,성북구,정릉2동
66262,성북구,종암동
66780,성동구,왕십리도선동
66832,성북구,돈암2동
67213,성북구,정릉2동
67214,성북구,길음1동
67215,성동구,사근동
67216,성동구,왕십리2동
67218,성동구,왕십리도선동
67655,성북구,길음1동
67720,성동구,사근동
67733,성북구,보문동
67891,성북구,종암동
67894,성북구,삼선동
67895,성북구,삼선동
68043,성북구,동선동
68229,성동구,금호4가동
68231,성동구,금호4가동
68263,성동구,왕십리2동
68264,성동구,왕십리2동
68265,성동구,왕십리2동
68266,성동구,왕십리2동
68284,성북구,종암동
68371,성북구,성북동
68401,성동구,금호2·3가동
68456,성동구,금호4가동
68458,성동구,금호4가동
68661,성동구,금호2·3가동
68857,성동구,행당1동
68991,성동구,금호4가동
69025,성동구,행당1동
69078,성동구,왕십리도선동
69081,성북구,동선동
69110,성북구,정릉2동
69209,성동구,금호2·3가동
69210,성동구,금호2·3가동
69223,성북구,안암동
69236,성동구,행당1동
69239,성동구,행당1동
69242,성북구,동선동
69288,성북구,종암동
69289,성북구,종암동
69306,성북구,동선동
69307,성북구,동선동
69309,성북구,정릉1동
69320,성동구,옥수동
69362,성북구,삼선동
69365,성북구,동선동
69366,성북구,삼선동
69371,성동구,왕십리도선동
69372,성동구,사근동
69373,성동구,사근동
69400,성북구,성북동
69417,성북구,길음1동
69418,성북구,길음1동
69419,성북구,보문동
69580,성동구,금호4가동
69583,성북구,길음2동
69598,성북구,동선동
69728,성동구,왕십리도선동
69729,성동구,행당1동
69730,성북구,동선동
69731,성북구,동선동
69733,성북구,동선동
69735,성북구,성북동
69736,성북구,안암동
69737,성북구,안암동
70723,성동구,왕십리도선동
70844,성동구,행당2동
70861,성동구,금호2·3가동
71310,성북구,길음2동
71710,성북구,보문동
71745,성동구,사근동
71810,성북구,삼선동
72003,성동구,왕십리도선동
72010,성동구,사근동
72208,성동구,왕십리도선동
72384,성동구,행당1동
72860,성동구,왕십리2동
73004,성동구,왕십리도선동
73007,성동구,옥수동
73063,성북구,종암동
73156,성북구,길음2동
73242,성북구,안암동
73344,성북구,종암동
73357,성북구,동선동
73483,성동구,금호2·3가동
73760,성북구,안암동
73761,성북구,안암동
73773,성동구,금호4가동
73886,성동구,왕십리도선동
73887,성동구,왕십리도선동
74244,성북구,동선동
74272,성동구,금호2·3가동
74640,성동구,행당1동
74838,성동구,금호2·3가동
74877,성북구,삼선동
74984,성북구,동선동
75130,성북구,성북동
75260,성동구,왕십리도선동
75320,성북구,종암동
75391,성북구,삼선동
75397,성동구,금호2·3가동
75502,성북구,돈암2동
75515,성동구,마장동
75582,성북구,길음2동
75583,성북구,성북동
75584,성북구,성북동
75681,성동구,왕십리도선동
76088,성북구,길음2동
76096,성북구,종암동
76125,성동구,행당1동
76190,성동구,응봉동
76199,성북구,안암동
76322,성동구,왕십리2동
76378,성동구,왕십리2동
76424,성북구,삼선동
76494,성동구,금호2·3가동
76664,성동구,행당1동
76772,성북구,삼선동
76830,성동구,왕십리도선동
76910,성동구,금호2·3가동
77225,성동구,금호2·3가동
77289,성북구,정릉2동
77299,성북구,종암동
77309,성북구,종암동
77408,성동구,옥수동
77490,성동구,금호2·3가동
77584,성북구,안암동
77630,성북구,돈암2동
77646,성북구,안암동
78051,성동구,행당1동
78070,성동구,사근동
78110,성동구,금호2·3가동
78130,성북구,동선동
78270,성북구,삼선동
78346,성동구,왕십리도선동
78454,성북구,동선동
79088,성북구,정릉1동
79381,성북구,정릉1동
79546,성북구,동선동
79586,성북구,정릉1동
80096,성동구,사근동
80381,성북구,안암동
80416,성북구,정릉2동
80705,성동구,사근동
80769,성북구,길음1동
80774,성북구,안암동
80852,성북구,길음1동
80926,성동구,왕십리도선동
81195,성북구,종암동
81256,성동구,행당1동
81374,성북구,삼선동
81447,성북구,종암동
81570,성동구,왕십리도선동
81603,성북구,종암동
81617,성동구,금호2·3가동
81640,성북구,동선동
81649,성동구,옥수동
81657,성북구,동선동
81683,성동구,옥수동
81686,성동구,옥수동
81722,성북구,길음1동
81957,성동구,금호2·3가동
81958,성동구,금호4가동
81997,성북구,동선동
82042,성동구,옥수동
82046,성북구,길음2동
82218,성동구,옥수동
82239,성동구,옥수동
82240,성동구,옥수동
82241,성동구,옥수동
82342,성북구,길음2동
82423,성동구,옥수동
82614,성동구,사근동
82621,성동구,왕십리2동
82702,성북구,안암동
82804,성북구,안암동
82836,성북구,종암동
82838,성북구,정릉1동
82875,성동구,왕십리도선동
83031,성북구,길음2동
83085,성동구,마장동
83170,성북구,동선동
83244,성북구,종암동
83289,성동구,왕십리2동
83290,성동구,왕십리2동
83291,성동구,왕십리2동
83292,성동구,왕십리2동
83483,성동구,옥수동
83649,성북구,안암동
83734,성북구,길음1동
83736,성북구,동선동
83907,성북구,동선동
83932,성북구,삼선동
83936,성동구,금호4가동
84621,성북구,안암동
84634,성동구,옥수동
84771,성동구,마장동
84893,성동구,행당2동
85298,성북구,길음1동
85678,성북구,길음2동
85771,성북구,길음1동
85801,성북구,길음1동
85805,성북구,정릉2동
86727,성북구,안암동
86733,성북구,정릉1동
86738,성북구,정릉1동
86773,성북구,돈암2동
87037,성북구,안암동
87170,성북구,길음1동
87553,성북구,안암동
87556,성동구,옥수동
87557,성북구,안암동
87752,성북구,삼선동
87761,성북구,동선동
87766,성북구,성북동
87769,성북구,정릉2동
87842,성북구,정릉2동
87955,성북구,안암동
87998,성북구,성북동
88053,성북구,동선동
88058,성북구,보문동
88060,성북구,동선동
88159,성동구,행당2동
88181,성북구,삼선동
88202,성동구,금호2·3가동
88284,성북구,길음1동
88497,성북구,성북동
88697,성동구,금호2·3가동
88701,성북구,길음2동
88801,성북구,동선동
88809,성북구,정릉1동
88844,성북구,동선동
89122,성북구,동선동
89306,성북구,동선동
89310,성북구,삼선동
89323,성동구,마장동
89702,성동구,왕십리도선동
89975,성동구,왕십리도선동
89978,성북구,돈암1동
90077,성북구,돈암1동
90160,성동구,왕십리도선동
90546,성동구,금호2·3가동
90588,성북구,안암동
90874,성북구,정릉1동
90959,성북구,길음2동
90993,성북구,동선동
90994,성북구,삼선동
91190,성북구,길음1동
91354,성동구,왕십리도선동
91410,성북구,길음1동
91450,성북구,동선동
91568,성동구,행당1동
91618,성북구,길음1동
91723,성동구,금호2·3가동
91782,성동구,사근동
91919,성동구,금호4가동
92080,성북구,삼선동
92516,성동구,행당2동
92519,성동구,사근동
92608,성동구,금호2·3가동
92611,성동구,왕십리도선동
92665,성동구,왕십리2동
92772,성북구,돈암2동
93168,성동구,행당2동
93171,성동구,왕십리도선동
93293,성북구,동선동
93417,성동구,금호4가동
93481,성북구,안암동
93552,성북구,돈암1동
93554,성북구,정릉1동
93724,성동구,왕십리도선동
93862,성동구,금호4가동
93927,성동구,금호4가동
93929,성동구,마장동
93934,성동구,금호2·3가동
93954,성북구,동선동
93958,성북구,종암동
94076,성북구,동선동
94158,성동구,왕십리도선동
94314,성북구,성북동
94368,성동구,행당1동
94542,성동구,사근동
94728,성동구,행당2동
94906,성동구,행당2동
95022,성동구,행당2동
95294,성동구,행당2동
95429,성동구,금호2·3가동
95457,성북구,보문동
95461,성북구,성북동
95492,성북구,안암동
95510,성북구,삼선동
95552,성북구,동선동
95601,성북구,동선동
95753,성북구,종암동
95757,성북구,보문동
95797,성동구,금호1가동
95984,성북구,삼선동
95985,성북구,보문동
95987,성북구,성북동
95989,성북구,삼선동
96158,성북구,동선동
96274,성북구,안암동
96279,성북구,동선동
96285,성동구,응봉동
96325,성북구,길음1동
96339,성동구,사근동
96431,성동구,금호4가동
96500,성북구,성북동
96502,성동구,왕십리도선동
96514,성동구,행당1동
96534,성북구,정릉1동
96750,성북구,안암동
96828,성동구,왕십리도선동
96850,성동구,왕십리도선동
97045,성북구,돈암1동
97054,성북구,길음1동
97332,성동구,옥수동
97404,성동구,마장동
98055,성동구,응봉동
98056,성동구,옥수동
98072,성북구,동선동
98151,성동구,왕십리2동
98197,성북구,삼선동
98685,성북구,길음1동
98747,성동구,행당2동
98755,성동구,금호4가동
98756,성동구,금호2·3가동
98833,성북구,삼선동
98855,성북구,삼선동
98910,성북구,정릉1동
98911,성동구,행당1동
99047,성북구,동선동
99169,성북구,안암동
99271,성동구,옥수동
99557,성동구,금호4가동
99593,성동구,옥수동
99637,성동구,왕십리도선동
99641,성북구,안암동
99998,성동구,사근동
100105,성동구,금호2·3가동
100165,성북구,동선동
100234,성동구,왕십리도선동
100243,성동구,금호1가동
100249,성북구,동선동
100803,성북구,보문동
100819,성동구,금호4가동
101103,성동구,응봉동
101286,성북구,길음2동
102089,성북구,동선동
102272,성동구,왕십리도선동
102432,성북구,동선동
102687,성동구,금호4가동
102700,성동구,왕십리도선동
102840,성동구,금호1가동
103142,성동구,왕십리도선동
103485,성동구,행당2동
103684,성북구,길음2동
103710,성동구,사근동
104116,성북구,성북동
104121,성북구,동선동
104123,성북구,정릉2동
104147,성북구,동선동
104156,성북구,정릉1동
104159,성동구,금호2·3가동
104809,성북구,정릉1동
104812,성북구,종암동
104854,성북구,삼선동
105233,성북구,종암동
105312,성동구,왕십리2동
105556,성북구,안암동
105557,성북구,종암동
105675,성동구,왕십리도선동
105677,성동구,금호2·3가동
105678,성동구,금호2·3가동
105679,성동구,옥수동
105789,성동구,옥수동
105845,성북구,동선동
106115,성동구,행당1동
106116,성북구,길음2동
106609,성동구,옥수동
106659,성북구,삼선동
106957,성북구,종암동
106970,성동구,왕십리도선동
107008,성동구,옥수동
107119,성동구,왕십리도선동
107121,성동구,왕십리도선동
107361,성북구,삼선동
107731,성동구,사근동
107874,성동구,마장동
108009,성동구,사근동
108019,성동구,사근동
108451,성북구,안암동
108462,성북구,동선동
108465,성동구,왕십리도선동
108608,성동구,금호4가동
108753,성동구,금호4가동
108960,성동구,마장동
109077,성북구,동선동
109166,성동구,행당1동
110488,성북구,동선동
111130,성북구,안암동
111208,성동구,금호2·3가동
111988,성동구,왕십리도선동
112127,성동구,왕십리도선동
113020,성동구,금호4가동
113034,성동구,행당2동
113690,성북구,안암동
114221,성동구,금호2·3가동
115079,성동구,금호2·3가동
115282,성북구,성북동
116194,성북구,종암동
116577,성북구,종암동
116653,성북구,종암동
116948,성북구,종암동
117209,성동구,금호2·3가동
117550,성북구,성북동
118657,성북구,동선동
118739,성동구,왕십리도선동
118976,성동구,옥수동
118978,성동구,행당2동
120639,성북구,종암동
120702,성동구,사근동
120798,성동구,행당1동
120805,성동구,행당1동
121223,성동구,행당2동
121928,성동구,행당2동
122069,성동구,금호4가동
122856,성동구,금호2·3가동
122861,성북구,삼선동
123714,성동구,금호2·3가동
124737,성동구,왕십리도선동
126080,성동구,왕십리도선동
126081,성동구,왕십리도선동
126086,성동구,왕십리도선동
126087,성동구,행당1동
126088,성동구,금호1가동
126089,성동구,옥수동
