store_id,store_name,monitoring_partner_id,monitoring_partner_name,monitoring_partner_number
233970,(선택)파리바게뜨 정릉서경점,2913,부릉프렌즈 선택배송,p744A
233994,(선택)파리바게뜨 안암역점,2913,부릉프렌즈 선택배송,p744A
234049,(선택)파리바게뜨 정릉대림점,2913,부릉프렌즈 선택배송,p744A
234054,(선택)파리바게뜨 정릉제일점,2913,부릉프렌즈 선택배송,p744A
234055,(선택)파리바게뜨 길음동부점,2913,부릉프렌즈 선택배송,p744A
234057,(선택)파리바게뜨 길음역점,2913,부릉프렌즈 선택배송,p744A
234117,(선택)배스킨라빈스 정릉시장점,2913,부릉프렌즈 선택배송,p744A
118739,슈퍼키친 상왕십리,2190,성동행당지점,p626A
118976,슈퍼키친 옥수역,2190,성동행당지점,p626A
118978,슈퍼키친 행당역,2190,성동행당지점,p626A
126086,CU 성동벽산점,2190,성동행당지점,p626A
126087,CU 행당레몬점,2190,성동행당지점,p626A
126090,CU 신금호파크자이점,2190,성동행당지점,p626A
126809,CU 한양대후문점,2190,성동행당지점,p626A
129620,GS25 성동금남점,2190,성동행당지점,p626A
138769,CU 옥수극동점,2190,성동행당지점,p626A
142087,CU 한양사대부고점,2190,성동행당지점,p626A
148221,GS25 행당벽산점,2190,성동행당지점,p626A
151230,GS25 마장힐스점,2190,성동행당지점,p626A
152747,GS25 한양제일점,2190,성동행당지점,p626A
158869,올리브영 신금호역점,2190,성동행당지점,p626A
158870,[유휴]올리브영 신금호역점,2190,성동행당지점,p626A
160540,CU 금호사거리점,2190,성동행당지점,p626A
161138,GS25 금호극동점,2190,성동행당지점,p626A
166321,CU 왕십리큐브스테이트점,2190,성동행당지점,p626A
177147,GS더프레시 성동텐즈힐점,2190,성동행당지점,p626A
177743,스타벅스 신금호역,2190,성동행당지점,p626A
180586,이마트에브리데이 행당점,2190,성동행당지점,p626A
181733,(선택)파리바게뜨 왕십리무학점,2190,성동행당지점,p626A
181735,(선택)파리바게뜨 신금호역점,2190,성동행당지점,p626A
181736,(선택)던킨도너츠 왕십리민자역사점,2190,성동행당지점,p626A
181737,(선택)배스킨라빈스 한양대점,2190,성동행당지점,p626A
181739,(선택)배스킨라빈스 행당점,2190,성동행당지점,p626A
181741,(선택)배스킨라빈스 성동금호점,2190,성동행당지점,p626A
185532,스타벅스 금호역,2190,성동행당지점,p626A
191428,(선택)파리바게뜨 왕십리역사점,2190,성동행당지점,p626A
194980,세븐일레븐 왕십리텐즈힐점,2190,성동행당지점,p626A
196190,올리브영 황학사거리점,2190,성동행당지점,p626A
196198,[유휴]올리브영 황학사거리점,2190,성동행당지점,p626A
203726,CU 상왕십리역점,2190,성동행당지점,p626A
212987,CU 옥수래미안리버젠점,2190,성동행당지점,p626A
216683,GS25 신금호역점,2190,성동행당지점,p626A
228336,CU 응봉사랑점,2190,성동행당지점,p626A
228523,CU 행당삼부소월점,2190,성동행당지점,p626A
233915,(선택)배스킨라빈스 왕십리센트라스점,2190,성동행당지점,p626A
236669,GS25 성동샤르망점,2190,성동행당지점,p626A
238259,파리바게뜨 왕십리무학점,2190,성동행당지점,p626A
24206,파리바게뜨 성동구민회관점,2190,성동행당지점,p626A
243551,슈퍼키친 신금호역점,2190,성동행당지점,p626A
24399,파리바게뜨 왕십리텐즈힐점,2190,성동행당지점,p626A
248795,빽다방 한양대점,2190,성동행당지점,p626A
249299,GS더프레시 성동옥수점,2190,성동행당지점,p626A
255575,GS25 마장세림점,2190,성동행당지점,p626A
262643,KFC 신금호역점,2190,성동행당지점,p626A
30129,올리브영 금호점,2190,성동행당지점,p626A
30134,올리브영 상왕십리역점,2190,성동행당지점,p626A
32622,홈플러스익스프레스 금호2점,2190,성동행당지점,p626A
32623,홈플러스익스프레스 신금호점,2190,성동행당지점,p626A
33132,파리바게뜨 응봉점,2190,성동행당지점,p626A
34727,초록마을 옥수직영점,2190,성동행당지점,p626A
35690,홈플러스익스프레스 옥수점,2190,성동행당지점,p626A
36658,CU 행당대림점,2190,성동행당지점,p626A
